Open,High,Low,Close,Volume,Year,Month,Week,Weekday,Price,LogPrice,LogVol
2.83162,3.53661,2.52112,2.77212,164329.0,2015,8,32,4,2.80187,1.0302870514066795,12.009625794840687
2.79376,2.79881,0.714725,0.753325,674188.0,2015,8,32,5,1.7735425,0.5729789588575755,13.421264282750958
0.706136,0.87981,0.629191,0.701897,532170.0,2015,8,32,6,0.7040165,-0.3509534855987485,13.184718266151094
0.713989,0.729854,0.636546,0.708448,405283.0,2015,8,33,0,0.7112185,-0.34077558274730485,12.91234086749788
0.708087,1.13141,0.663235,1.06786,1463100.0,2015,8,33,1,0.8879735,-0.11881337877760093,14.196068030366254
1.05875,1.28994,0.883608,1.21744,2150620.0,2015,8,33,2,1.138095,0.12935581200899926,14.581266730625629
1.22224,1.96507,1.17199,1.82767,4068680.0,2015,8,33,3,1.5249549999999998,0.4219649014272781,15.218829180489946
1.81092,2.26188,1.75475,1.82787,4637030.0,2015,8,33,4,1.819395,0.5985040282433146,15.349584633052906
1.80289,1.87724,1.57098,1.6889,2554360.0,2015,8,33,5,1.745895,0.5572673181520365,14.753312261005483
1.68435,1.69524,1.08981,1.56603,3550790.0,2015,8,33,6,1.62519,0.48562473202365364,15.082680671905578
1.58119,1.58119,1.18534,1.20361,1942830.0,2015,8,34,0,1.3924,0.3310288769551468,14.479656230965142
1.2153,1.33116,1.08705,1.08705,1485680.0,2015,8,34,1,1.151175,0.14078315988544443,14.211383137866935
1.16693,1.31799,1.16693,1.25886,1486240.0,2015,8,34,2,1.212895,0.19301006397281173,14.211759998621348
1.25118,1.5333,1.24833,1.46492,2843760.0,2015,8,34,3,1.35805,0.30604984730995893,14.860637678158731
1.47752,1.55642,1.3528,1.39529,2020970.0,2015,8,34,4,1.436405,0.3621434642882658,14.519088152139016
1.39629,1.47641,1.35268,1.37923,948310.0,2015,8,34,5,1.38776,0.3276909364710165,13.76243673200234
1.375,1.4097,1.29777,1.35259,1589300.0,2015,8,34,6,1.363795,0.31027125487097545,14.278804225684912
1.34559,1.36278,1.23127,1.23127,924920.0,2015,8,35,0,1.28843,0.25342442289801675,13.737462526267905
1.22861,1.24182,1.12865,1.14019,1307180.0,2015,8,35,1,1.1844000000000001,0.16923631724529925,14.08338270309323
1.13279,1.20248,1.06183,1.15998,1056750.0,2015,8,35,2,1.146385,0.13661351300798158,13.870708718429036
1.16981,1.18883,1.13729,1.1477,686662.0,2015,8,35,3,1.158755,0.14734615288322453,13.439597455958056
1.14766,1.20779,1.1205,1.19138,721872.0,2015,8,35,4,1.16952,0.15659340822122328,13.489603116839504
1.19353,1.20721,1.14949,1.18255,375377.0,2015,8,35,5,1.18804,0.17230489040730035,12.835686133276766
1.18299,1.36799,1.17061,1.31927,1337650.0,2015,8,35,6,1.2511299999999999,0.22404714295229722,14.10642490099672
1.32138,1.39615,1.20101,1.35824,1447180.0,2015,8,36,0,1.33981,0.29252781286474333,14.185127393177789
1.35348,1.39274,1.33663,1.35161,778862.0,2015,9,36,1,1.352545,0.3019880029040471,13.565589158967382
1.35157,1.35491,1.26462,1.29479,883769.0,2015,9,36,2,1.32318,0.28003793030002394,13.691950995254599
1.29519,1.30999,1.21103,1.26493,702991.0,2015,9,36,3,1.2800600000000002,0.24690695183292746,13.463099368434891
1.26493,1.30252,1.23681,1.27441,474391.0,2015,9,36,4,1.26967,0.23875702418589825,13.069787155153486
1.28056,1.3423,1.27119,1.33881,448453.0,2015,9,36,5,1.309685,0.26978665028312915,13.01355916123277
1.33801,1.37364,1.29425,1.29583,491968.0,2015,9,36,6,1.31692,0.27529567680073175,13.106168952708805
1.2959,1.30548,1.23785,1.24665,489014.0,2015,9,37,0,1.2712750000000002,0.24002033387064825,13.100146397904034
1.24665,1.28238,1.23061,1.24243,427892.0,2015,9,37,1,1.24454,0.21876598373124312,12.966626106273138
1.23935,1.26048,1.20184,1.20651,366748.0,2015,9,37,2,1.2229299999999999,0.20124961876280534,12.812430242684291
1.20761,1.22157,1.13615,1.16577,662782.0,2015,9,37,3,1.18669,0.17116791892386501,13.404201406652195
1.16497,1.16907,0.940675,0.982978,1942600.0,2015,9,37,4,1.073974,0.07136578722753285,14.479537839950368
0.987228,1.11489,0.96978,1.03874,772430.0,2015,9,37,5,1.0129839999999999,0.01290043047251,13.557296668761529
1.04178,1.0427,0.902832,0.936003,644138.0,2015,9,37,6,0.9888915,-0.011170660152172973,13.375668267844873
0.940566,0.949387,0.87176,0.875622,741085.0,2015,9,38,0,0.908094,-0.09640738151003211,13.515870607551104
0.875189,1.04554,0.875189,0.94441,703390.0,2015,9,38,1,0.9097995,-0.09453103341771874,13.463666782259034
0.941977,0.952698,0.901639,0.907175,615593.0,2015,9,38,2,0.924576,-0.07842002493557362,13.330341309862067
0.906865,0.909204,0.831132,0.874231,897940.0,2015,9,38,3,0.890548,-0.1159182754030201,13.70785852990734
0.874574,0.888102,0.833908,0.853685,484622.0,2015,9,38,4,0.8641295,-0.14603263715034548,13.091124484600703
